id,result,status,true_status,transcript,duration,call_status,prompt,human_text,answer_to_usage,intent,human_full,has_usage,is_true_stay
249954,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: да слушаю; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: конечно; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",34,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",да слушаю конечно,конечно,stay,: да слушаю : конечно,False,True
256349,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: здравствуйте слышно; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: какую организацию вы звоните; bot: Вы нашим абонентом являетесь. Это оператор мобильной связи t2.; bot: Вы планируете пользоваться услугами t2 дальше?; human: мы пользуемся да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",49,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, question_what_organization_1, clarification_tail_1, clarification_not_outflow, final_hangup",здравствуйте слышно какую организацию вы звоните мы пользуемся да,какую организацию вы звоните,unclear,: здравствуйте слышно : какую организацию вы звоните : мы пользуемся да,True,True
256530,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: говорите; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: пользуемся пока планируем; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",35,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",говорите пользуемся пока планируем,пользуемся пока планируем,stay,: говорите : пользуемся пока планируем,True,True
260913,проблемы с распознаванием,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: слушаю вас; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; human: а да; bot: Вы планируете пользоваться услугами t2 дальше?; bot: Алло?; bot: Вас не слышно; bot: Извините, что-то со связью, повторите, пожалуйста.; bot: Какие-то проблемы со связью. Всего вам доброго, до свидания!",69,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_null_2, clarification_null_3, clarification_tail_1, clarification_null_1, clarification_null_2, clarification_null_3, bad_connection_hangup",слушаю вас а да,а да,stay,: слушаю вас : а да,False,True
262180,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: алло да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: отклони; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: да я ответил да планирую; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",46,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_default_1, clarification_not_outflow, final_hangup",алло да отклони да я ответил да планирую,отклони,unclear,: алло да : отклони : да я ответил да планирую,True,True
262610,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: алло здравствуйте да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: угу да планируем конечно; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",31,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",алло здравствуйте да угу да планируем конечно,угу да планируем конечно,stay,: алло здравствуйте да : угу да планируем конечно,True,True
262997,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: да слушаю вас; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: вы по корпоративной связи спрашиваете; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: ага пока пользуемся да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",48,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_default_1, clarification_not_outflow, final_hangup",да слушаю вас вы по корпоративной связи спрашиваете ага пока пользуемся да,вы по корпоративной связи спрашиваете,unclear,: да слушаю вас : вы по корпоративной связи спрашиваете : ага пока пользуемся да,True,True
264004,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: да говорите; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; human: алло; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: безусловно; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: алло я же говорю что буду; bot: Видим, что корпоративную связь оплачиваете, а пользуетесь сейчас редко. Мм, планируете вернуться к прежней активности?; human: это как то что так и пользуюсь; bot: Мм, мои коллеги заметили, что по вашему договору корпоративной связи снизился трафик. Ну то есть меньше звонков стало совершаться, активность уменьшилась. Поэтому хотим уточнить, планируете ли вы пользоваться нашими услугами дальше?; human: я же сказал что планирую; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",84,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_default_1, clarification_default_2, clarification_dont_understand_1, clarification_not_outflow, final_hangup",да говорите алло безусловно алло я же говорю что буду это как то что так и пользуюсь я же сказал что планирую,безусловно,unclear,: да говорите : алло : безусловно : алло я же говорю что буду : это как то что так и пользуюсь : я же сказал что планирую,True,True
265712,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: да слышно; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: планирую конечно да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",37,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",да слышно планирую конечно да,планирую конечно да,stay,: да слышно : планирую конечно да,True,True
266266,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; bot: Алло, слышно меня?; human: рассказывайте чего уж; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",40,200 OK,"hello_main, hello_null_1, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",рассказывайте чего уж да,да,stay,: рассказывайте чего уж : да,False,True
266733,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: алло да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: сейчас секунду; bot: Слушаю.; bot: Алло?; human: артем вопрос; bot: Мы видим, что вы стали меньше пользоваться корпоративной связью. Уточните, пожалуйста, планируете ли продолжить пользоваться нашими услугами?; human: вопрос ну пользуемся там больше это что что то значит; bot: Мм, мои коллеги заметили, что по вашему договору корпоративной связи снизился трафик. Ну то есть меньше звонков стало совершаться, активность уменьшилась. Поэтому хотим уточнить, планируете ли вы пользоваться нашими услугами дальше?; human: пока пользуемся да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",72,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_interruption_1, clarification_null_1, clarification_default_1, clarification_dont_understand_1, clarification_not_outflow, final_hangup",алло да сейчас секунду артем вопрос вопрос ну пользуемся там больше это что что то значит пока пользуемся да,сейчас секунду,unclear,: алло да : сейчас секунду : артем вопрос : вопрос ну пользуемся там больше это что что то значит : пока пользуемся да,True,True
266770,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: добрый день ольга да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",29,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",добрый день ольга да да,да,stay,: добрый день ольга да : да,False,True
272523,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: да слышно вас; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: да планируем у нас постельный только запускают топин только на начатый по мере; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",38,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",да слышно вас да планируем у нас постельный только запускают топин только на начатый по мере,да планируем у нас постельный только запускают топин только на начатый по мере,stay,: да слышно вас : да планируем у нас постельный только запускают топин только на начатый по мере,True,True
283347,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: угу да да да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; human: а мы пользуемся вашими услугами; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",31,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_not_outflow, final_hangup",угу да да да а мы пользуемся вашими услугами,а мы пользуемся вашими услугами,stay,: угу да да да : а мы пользуемся вашими услугами,True,True
283842,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: здравствуйте по поводу; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; human: угу; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: 1 и тоже разговариваю можно как то убрать не обзвона планируете; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",40,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",здравствуйте по поводу угу 1 и тоже разговариваю можно как то убрать не обзвона планируете,1 и тоже разговариваю можно как то убрать не обзвона планируете,unclear,: здравствуйте по поводу : угу : 1 и тоже разговариваю можно как то убрать не обзвона планируете,True,True
284073,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: да нет я занят; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; human: ну говорите у нас это вы сейчас скажете; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: сейчас все восстановится у нас сезонная да да да планируем; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",38,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",да нет я занят ну говорите у нас это вы сейчас скажете сейчас все восстановится у нас сезонная да да да планируем,сейчас все восстановится у нас сезонная да да да планируем,stay,: да нет я занят : ну говорите у нас это вы сейчас скажете : сейчас все восстановится у нас сезонная да да да планируем,True,True
284617,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Компания t2, меня зовут Ольга. Звоню по корпоративному договору, меня хорошо слышно?; human: да слышно вас спасибо говорите; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: угу да планируем но; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",45,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",да слышно вас спасибо говорите угу да планируем но,угу да планируем но,stay,: да слышно вас спасибо говорите : угу да планируем но,True,True
382283,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: слышно; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; bot: Алло?; human: планируем; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",37,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_null_1, clarification_not_outflow, final_hangup",слышно планируем,планируем,stay,: слышно : планируем,True,True
395163,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Корпоративный отдел компании t2, меня зову Ольга. Меня слышно, да?; human: угу; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: ну пока да; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",36,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",угу ну пока да,ну пока да,stay,: угу : ну пока да,False,True
397030,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Это компания t2, корпоративный отдел, Ольга. Минуту уделите, пожалуйста?; human: да; bot: Отлично!; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; human: я даже даже не; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: конечно конечно планируем как; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",33,200 OK,"hello_main, hello_thanks, clarification_main, clarification_main_tail, clarification_not_outflow, final_hangup",да я даже даже не конечно конечно планируем как,конечно конечно планируем как,stay,: да : я даже даже не : конечно конечно планируем как,True,True
398039,согласие,угроза оттока не подтверждена,,"bot: Добрый день! Меня зовут Ольга, корпоративный отдел компании t2. Вам удобно сейчас минуту уделить?; human: алло нет; bot: У меня короткий вопрос по вашему договору, буквально минута.; bot: Дело в том, что мы заметили снижение трафика по вашему контракту.; bot: Подскажите, пожалуйста, планируете ли вы пользоваться нашими услугами дальше?; human: конечно а что вы заметили не понял; bot: Мм, мои коллеги заметили, что по вашему договору корпоративной связи снизился трафик. Ну то есть меньше звонков стало совершаться, активность уменьшилась. Поэтому хотим уточнить, планируете ли вы пользоваться нашими услугами дальше?; human: конечно планирую я плачу; bot: Нам очень приятно, что остаётесь с нами. Если у вас возникнут вопросы, обязательно обращайтесь. Мм…; bot: Спасибо за уделенное время, хорошего вам дня!",62,200 OK,"hello_main, hello_wrong_time, clarification_main, clarification_main_tail, clarification_dont_understand_1, clarification_not_outflow, final_hangup",алло нет конечно а что вы заметили не понял конечно планирую я плачу,конечно а что вы заметили не понял,stay,: алло нет : конечно а что вы заметили не понял : конечно планирую я плачу,True,True
